,body,lat,long
0,@Liam_lifes @SENSEI_SHAZAM What are you on about? Samsung processors run MUCH faster than any Apple processor in production.,-123.51713335,49.399529599999994
1,@subparsurname has an iPhone. The guy who said “I hate Apple products” https://t.co/jiZlj4W7BV https://t.co/ar5gvoMIkb,-111.7375657,33.4057545
2,whemts apple kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkll https://t.co/dvsgZ3jWAP,-43.01820815,-22.821464999999996
3,"So apparently there is this big illegal street party going on, but I'm here at home making apple crisp. I think my… https://t.co/Xncd0CdGYX",-81.2487865,42.9488405
4,"@weedswildflowrs I poured myself some apple juice today, drank some, went to switch my laundry, got distracted by t… https://t.co/oopt01Og7y",-81.263631,34.1009193
5,"UPDATE: While you can use an Apple Watch with an Android phone, the workaround still requires an iPhone for initial… https://t.co/bkEaS3kTh8",-79.85736349999999,36.090396999999996
6,“to do it all over again tomorrow...”  😎🤘🏻🌱 #shotoniphone #appleantara #todayatapplephotowalk #sibas #awesome… https://t.co/3xPpNz3R3m,type,coordinates
7,"@krizdabz Štrunts, ko kurš lieto. Neba jau Apple muļķi, ka nesaprot, ko dara. Tas ir tāpat kā vieni brauc ar vācu,… https://t.co/5oKgyFNahP",24.1286564,56.97149275
8,A beautiful Saturday spent along Sabattus Pond and the apple orchards of @vistaofmaine158. Highly recommend! @ Gree… https://t.co/smCYCNcnxT,type,coordinates
9,@_bornonamonday Why do you use Spotify instead of Apple Music,26.213109600000003,-29.10658805
10,"Hello...freshly picked future dessert.
🍎🍏🍎🍏

Football, sunshine, apple picking, and a gourd that looks like a swan.… https://t.co/2wscRM6N7K",-88.09198549999999,44.4297195
11,When your mother gently suggests you pull back on eating like a pregnant person to get ready to lose the baby weigh… https://t.co/HBLMldwPS3,type,coordinates
12,".@iPadPilotNews @Apple #iPadOS #aviation #pilot #EFB 
https://t.co/BTIcyQFtzF",-68.98470499999999,45.188407000000005
13,@jaedking Ya esta para apple?????,-70.69775485,-33.428263
14,I’m drunk but this seems important. https://t.co/qJcGHHzi8c,-77.02516416203196,38.906217946474946
15,#sábado #skyline en Apple Antara https://t.co/s3ax5ukV0s,type,coordinates
16,@Apple @AppleSupport do better. @ZONEofTECH does so much to review/promote your brand and he acts as a loyal patron… https://t.co/LgBTagoiby,-76.50886249999999,42.4494885
17,@PageSix Electrocuted means killed. Look it up. Fix this. He’s not dead. https://t.co/tnXQ6Gpsc4,-87.732013,41.833584450000004
18,@upstateashley @Apple @mrodgers79 Ah gotcha. I thought the camera was slightly different. You definitely get used t… https://t.co/BUQG7tEPqY,-73.763825,42.739121499999996
19,@Liam_lifes @SENSEI_SHAZAM They reuse old things that they improvise to make 10x better. And even if they do reuse… https://t.co/M2vNRffARO,-123.51713335,49.399529599999994
