,body,lat,long
0,"https://t.co/sxaLfsp0vn
What Trump and other aides are frustrated with, according to the sources, is that Mulvaney… https://t.co/qZiujlMNP8",-106.68186750000001,35.0115135
1,@NYinLA2121 @BrainyB3 Either that or President Obama producing the Netflix series the Impeachment of Donald Trump.....,-79.9739975,39.887615000000004
2,"Great idea let's keep President Donald J.TRUMP, making AMERICA great again in 2020.
TERM LIMITS FOR CONGRESS AND SE… https://t.co/kDrntDcCSX",-81.19485,34.1090235
3,@manny_ottawa @POTUS That's right we're going to enjoy the next five years because Donald Trump is going to win in… https://t.co/xdKFkZWuW2,-83.7256099,42.9944585
4,"Mulvaney on shaky ground in wake of whistleblower fallout, sources say

https://t.co/0jpSYyT67g",-79.98068965,40.4313888
5,"https://t.co/sHuZbE59XW

Donald Trump is in real trouble now.",-90.42677359999999,38.3508115
6,@RobertaMcClain6 @BillyBaldwin Is that the backside of Donald Trump at the gas station?,-87.69919565000001,42.045436849999994
7,"Two men blackmail the same country Ukraine,?The first man Old Joe Biden,went on National TV (to tell the story)? Th… https://t.co/SFXuujI338",-4.496779650000001,55.61185175
8,https://t.co/ohrZ1LWMit,-122.696391,45.41124815
9,"Once again, Donald Trump lies about the facts of life in America. If this all gets as far as the 2020 election, Tru… https://t.co/8YpYLWErLv",-89.5694915,44.900818
10,The short: mulvaney couldn’t spin a good enough lie to cover up @realDonaldTrumps possible treason. Here’s a though… https://t.co/tfwAFnimAM,-77.49317049999999,37.529883
11,"@SEGOB_mx Claro que sí son ""gatos""de Donald Trump. Amlo, Olga y Marcelo, son los lambiscones. A Trump le sale más c… https://t.co/MypGI626n9",-101.4570151,17.8005545
12,donald trump is a cult leader and you can’t change my mind,-95.818827,36.29814375
13,And we the people call Donald Trump a liar a thief a traitor to the country and has committed treason https://t.co/xoxkq735GY,-75.117998,40.0048655
14,@Susan_Hennessey Just remember when the truth comes out it's going to hurt people on both sides of the aisle not ju… https://t.co/xrwYFpvK2B,-83.7236565,33.660685
15,"Donald Trump walks into a bar
The barman says
""I've heard enough blonde jokes""",type,coordinates
16,See also: https://t.co/hQzxcheMMp,-74.0238525,41.2072305
17,@ParkerMolloy @pattonoswalt Increasingly he and trump look like each other too. And his character in Ray Donovan re… https://t.co/NXP6bQKOY2,-0.1731149,51.524835249999995
18,"Mulvaney on shaky ground in wake of whistleblower fallout, sources say

https://t.co/2wprOqHIxd",-95.44648649999999,29.8384948
19,1.8 billion people around the globe are against any impeachment against President Donald J Trump they are all part… https://t.co/SWOmUumbK0,34.9684285,31.342253
20,To whom it may concern from Donald Trump: I was asked what was the. Difference in Walmart that you notice . everyth… https://t.co/jMKSrfYyRK,-83.77168599999999,31.963553
